@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled. (Command "set_option -fix_gated_and_generated_clocks 1" in the project file.)
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\top.v":43:21:43:30|Tristate driver mpu_tx_pin (in view: work.top(verilog)) on net mpu_tx_pin (in view: work.top(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\ddr3\rtl\ipsl_phy_io.v":175:41:175:51|Tristate driver DQS_DRIFT_H_1 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) on net DQS_DRIFT_H_1 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\ddr3\rtl\ipsl_phy_io.v":175:41:175:51|Tristate driver DQS_DRIFT_H_2 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) on net DQS_DRIFT_H_2 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\ddr3\rtl\ipsl_phy_io.v":174:41:174:51|Tristate driver DQS_DRIFT_L_1 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) on net DQS_DRIFT_L_1 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\ddr3\rtl\ipsl_phy_io.v":174:41:174:51|Tristate driver DQS_DRIFT_L_2 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) on net DQS_DRIFT_L_2 (in view: work.ipsl_phy_io_Z19_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\ddr3\rtl\ipsl_phy_io.v":100:41:100:47|Tristate driver PSLVERR (in view: work.ipsl_phy_io_Z19_layer0(verilog)) on net PSLVERR (in view: work.ipsl_phy_io_Z19_layer0(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\my_aq_axi_master.v":480:11:480:20|Tristate driver DEBUG_1 (in view: work.my_aq_axi_master(verilog)) on net DEBUG_1 (in view: work.my_aq_axi_master(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\my_aq_axi_master.v":480:11:480:20|Tristate driver DEBUG_2 (in view: work.my_aq_axi_master(verilog)) on net DEBUG_2 (in view: work.my_aq_axi_master(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\my_aq_axi_master.v":480:11:480:20|Tristate driver DEBUG_3 (in view: work.my_aq_axi_master(verilog)) on net DEBUG_3 (in view: work.my_aq_axi_master(verilog)) has its enable tied to GND.
@N: MO111 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\my_aq_axi_master.v":480:11:480:20|Tristate driver DEBUG_4 (in view: work.my_aq_axi_master(verilog)) on net DEBUG_4 (in view: work.my_aq_axi_master(verilog)) has its enable tied to GND.
@N: BN115 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\afifo_8in8out\rtl\ipm_distributed_fifo_v1_2_afifo_8in8out.v":64:3:64:38|Removing instance ipm_distributed_sdpram_afifo_8in8out (in view: work.ipm_distributed_fifo_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_ASYNC_FIFO_12s_4s_1(verilog)) of type view:work.ipm_distributed_sdpram_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_NONE_BIN_1(verilog) because it does not drive other instances.
@N: BN115 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\usart_tx_rx.v":162:14:162:20|Removing instance rx_fifo (in view: work.usart_tx_rx_Z1_layer0(verilog)) of type view:work.afifo_8in8out_1(verilog) because it does not drive other instances.
@N: BN362 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\usart_tx_rx.v":276:0:276:5|Removing sequential instance wr_rx_en (in view: work.usart_tx_rx_Z1_layer0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\usart_tx_rx.v":242:0:242:5|Removing sequential instance rx_data_buf[7:0] (in view: work.usart_tx_rx_Z1_layer0(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN362 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\usart_tx_rx.v":269:0:269:5|Removing sequential instance rx_done_d0 (in view: work.usart_tx_rx_Z1_layer0(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\source\test\usart_tx_rx.v":242:0:242:5|Removing sequential instance rx_done (in view: work.usart_tx_rx_Z1_layer0(verilog)) of type view:PrimLib.dffre(prim) because it does not drive other instances.
@N: BN115 :"c:\users\administrator.1fix62ak6m9qf8g\desktop\fpga\git\fpga-based-image-rotation\my_video_v4.1\ipcore\afifo_8in8out\rtl\ipm_distributed_fifo_v1_2_afifo_8in8out.v":64:3:64:38|Removing instance ipm_distributed_sdpram_afifo_8in8out (in view: work.ipm_distributed_fifo_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_ASYNC_FIFO_12s_4s_0(verilog)) of type view:work.ipm_distributed_sdpram_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_NONE_BIN_0(verilog) because it does not drive other instances.
