
. Module name, LUTS, REGISTERS, LATCHES, ADDSUB, MUXES, DEDICATED RAMS, DISTRIBUTED RAMS, MULTS, BUFS
. top, 2638, 3720, 6, 0, 179, 21, 242, 0, 0
.	. aq_axi_master, 120, 127, 0, 0, 0, 0, 0, 0, 0
.	. ax_debounce, 44, 37, 0, 0, 0, 0, 0, 0, 0
.	. ax_debounce_1, 44, 37, 0, 0, 0, 0, 0, 0, 0
.	. cmos_8_16bit, 18, 26, 0, 0, 0, 0, 0, 0, 0
.	. cmos_write_req_gen, 2, 7, 0, 0, 0, 0, 0, 0, 0
.	. ddr3, 218, 117, 0, 0, 0, 0, 30, 0, 0
.	.	. ipsl_hmemc_ddrc_top_Z27_layer0, 171, 25, 0, 0, 0, 0, 30, 0, 0
.	.	.	. ipsl_ddrc_reset_ctrl_Z26_layer0, 171, 25, 0, 0, 0, 0, 30, 0, 0
.	.	.	.	. ipsl_ddrc_apb_reset_Z25_layer0, 114, 10, 0, 0, 0, 0, 30, 0, 0
.	.	. ipsl_hmemc_phy_top_Z24_layer0, 47, 92, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_dll_update_ctrl, 7, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_reset_ctrl, 26, 31, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_training_ctrl, 5, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 9, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipsl_phy_io_Z23_layer0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. pll_50_400, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. dvi_encoder, 188, 144, 0, 0, 0, 0, 0, 0, 0
.	.	. encode, 54, 35, 0, 0, 0, 0, 0, 0, 0
.	.	. encode_0, 56, 39, 0, 0, 0, 0, 0, 0, 0
.	.	. encode_0_0, 48, 29, 0, 0, 0, 0, 0, 0, 0
.	.	. serdes_4b_10to1, 29, 41, 0, 0, 0, 0, 0, 0, 0
.	. frame_read_write, 98, 132, 0, 0, 0, 2, 0, 0, 0
.	.	. afifo_16i_64o_512, 40, 77, 0, 0, 0, 2, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_afifo_16i_64o_512_Z14_layer0, 40, 77, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_10s_8s_ASYN_1010s_4s, 40, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_afifo_16i_64o_512_Z13_layer0, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	. frame_fifo_write_Z15_layer0, 58, 55, 0, 0, 0, 0, 0, 0, 0
.	. gen_addr_filt_640s_480s_800s_600s_4294966896s_4294966996s_4_2_1_3_layer0, 49, 128, 0, 0, 0, 0, 0, 0, 0
.	.	. APM_multi_add_s16, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipml_multadd_v1_1_Z2_layer0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. APM_multi_add_s16_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. ipml_multadd_v1_1_Z2_layer0_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. gen_new_frame_sign, 2, 8, 0, 0, 0, 0, 0, 0, 0
.	. get_mpu_angle, 7, 57, 0, 0, 0, 0, 0, 0, 0
.	. i2c_config, 156, 136, 0, 0, 0, 0, 0, 0, 0
.	.	. i2c_master_top, 140, 123, 0, 0, 0, 0, 0, 0, 0
.	.	.	. i2c_master_byte_ctrl, 111, 101, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. i2c_master_bit_ctrl, 64, 75, 0, 0, 0, 0, 0, 0, 0
.	. key_adj_angle, 32, 44, 0, 0, 0, 0, 0, 0, 0
.	. lut_ov5640_rgb565_1280_960, 93, 0, 0, 0, 0, 0, 29, 0, 0
.	. lut_sin_cos, 245, 0, 0, 0, 0, 0, 167, 0, 0
.	. my_aq_axi_master, 250, 176, 0, 0, 0, 0, 0, 0, 0
.	. my_frame_read_write, 203, 295, 0, 0, 0, 6, 0, 0, 0
.	.	. afifo_64i_16o_128, 37, 82, 0, 0, 0, 2, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_afifo_64i_16o_128_Z17_layer0, 37, 82, 0, 0, 0, 2, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_8s_10s_ASYN_252s_4s, 37, 82, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_afifo_64i_16o_128_Z16_layer0, 0, 0, 0, 0, 0, 2, 0, 0, 0
.	.	. afifo_64i_64o_512, 47, 91, 0, 0, 0, 4, 0, 0, 0
.	.	.	. ipml_fifo_v1_4_afifo_64i_64o_512_Z22_layer0, 47, 91, 0, 0, 0, 4, 0, 0, 0
.	.	.	.	. ipml_fifo_ctrl_v1_3_10s_10s_ASYN_1000s_4s, 47, 91, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. ipml_sdpram_v1_4_afifo_64i_64o_512_Z21_layer0, 0, 0, 0, 0, 0, 4, 0, 0, 0
.	.	. frame_fifo_read_Z18_layer0, 67, 66, 0, 0, 0, 0, 0, 0, 0
.	.	. frame_fifo_write_Z15_layer0_0, 52, 56, 0, 0, 0, 0, 0, 0, 0
.	. osd_display_angle, 212, 217, 0, 0, 1, 1, 0, 0, 0
.	.	. Binary2BCD, 18, 28, 0, 0, 1, 0, 0, 0, 0
.	.	. osd_rom, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. ipml_rom_v1_3_osd_rom_Z20_layer0, 0, 0, 0, 0, 0, 1, 0, 0, 0
