Library, Design Unit, compile Time, Peak Mem Usage
work, top, 0h:00m:00s,    139 MB
work, ddr3, 0h:00m:00s,    139 MB
work, ipsl_hmemc_ddrc_top_Z27_layer0, 0h:00m:00s,    139 MB
work, GTP_DDRC, 0h:00m:00s,    139 MB
work, ipsl_ddrc_reset_ctrl_Z26_layer0, 0h:00m:00s,    139 MB
work, ipsl_ddrc_apb_reset_Z25_layer0, 0h:00m:00s,    139 MB
work, ipsl_hmemc_phy_top_Z24_layer0, 0h:00m:00s,    139 MB
work, GTP_IOBUFCO, 0h:00m:00s,    139 MB
work, GTP_INV, 0h:00m:00s,    139 MB
work, ipsl_phy_io_Z23_layer0, 0h:00m:00s,    139 MB
work, GTP_OUTBUFTCO, 0h:00m:00s,    139 MB
work, GTP_IOBUF, 0h:00m:00s,    139 MB
work, GTP_OUTBUF, 0h:00m:00s,    139 MB
work, GTP_INBUFG, 0h:00m:00s,    139 MB
work, GTP_ISERDES, 0h:00m:00s,    139 MB
work, GTP_IODELAY, 0h:00m:00s,    139 MB
work, GTP_DDC_E1, 0h:00m:00s,    139 MB
work, GTP_IOCLKDIV, 0h:00m:00s,    139 MB
work, GTP_IOCLKBUF, 0h:00m:00s,    139 MB
work, GTP_DDRPHY, 0h:00m:00s,    139 MB
work, GTP_DLL, 0h:00m:00s,    139 MB
work, ipsl_ddrphy_update_ctrl_16BIT_2s_0s_1s_2s_3s_1, 0h:00m:00s,    139 MB
work, ipsl_ddrphy_dll_update_ctrl, 0h:00m:00s,    139 MB
work, ipsl_ddrphy_training_ctrl, 0h:00m:00s,    139 MB
work, ipsl_ddrphy_reset_ctrl, 0h:00m:00s,    139 MB
work, pll_50_400, 0h:00m:00s,    139 MB
work, aq_axi_master, 0h:00m:00s,    139 MB
work, my_aq_axi_master, 0h:00m:00s,    143 MB
work, my_frame_read_write, 0h:00m:00s,    143 MB
work, afifo_64i_64o_512, 0h:00m:00s,    143 MB
work, ipml_fifo_v1_4_afifo_64i_64o_512_Z22_layer0, 0h:00m:00s,    143 MB
work, ipml_fifo_ctrl_v1_3_10s_10s_ASYN_1000s_4s, 0h:00m:00s,    143 MB
work, ipml_sdpram_v1_4_afifo_64i_64o_512_Z21_layer0, 0h:00m:00s,    143 MB
work, video_timing_data, 0h:00m:00s,    143 MB
work, color_bar, 0h:00m:00s,    143 MB
work, cmos_write_req_gen, 0h:00m:00s,    143 MB
work, cmos_8_16bit, 0h:00m:00s,    143 MB
work, lut_ov5640_rgb565_1280_960, 0h:00m:00s,    143 MB
work, i2c_config, 0h:00m:00s,    143 MB
work, i2c_master_top, 0h:00m:00s,    143 MB
work, i2c_master_byte_ctrl, 0h:00m:00s,    143 MB
work, i2c_master_bit_ctrl, 0h:00m:00s,    143 MB
work, dvi_encoder, 0h:00m:00s,    143 MB
work, serdes_4b_10to1, 0h:00m:00s,    143 MB
work, GTP_OUTBUFT, 0h:00m:00s,    143 MB
work, GTP_OSERDES, 0h:00m:00s,    143 MB
work, encode, 0h:00m:00s,    143 MB
work, video_pll, 0h:00m:00s,    143 MB
work, GTP_PLL_E1, 0h:00m:00s,    143 MB
work, osd_display_angle, 0h:00m:00s,    143 MB
work, timing_gen_xy, 0h:00m:00s,    143 MB
work, osd_rom, 0h:00m:00s,    143 MB
work, ipml_rom_v1_3_osd_rom_Z20_layer0, 0h:00m:00s,    143 MB
work, ipml_spram_v1_3_osd_rom_Z19_layer0, 0h:00m:00s,    143 MB
work, Binary2BCD, 0h:00m:00s,    143 MB
work, pixel_to_block, 0h:00m:00s,    143 MB
work, frame_read_write, 0h:00m:00s,    143 MB
work, frame_fifo_read_Z18_layer0, 0h:00m:00s,    146 MB
work, afifo_64i_16o_128, 0h:00m:00s,    146 MB
work, ipml_fifo_v1_4_afifo_64i_16o_128_Z17_layer0, 0h:00m:00s,    146 MB
work, ipml_fifo_ctrl_v1_3_8s_10s_ASYN_252s_4s, 0h:00m:00s,    146 MB
work, ipml_sdpram_v1_4_afifo_64i_16o_128_Z16_layer0, 0h:00m:00s,    146 MB
work, frame_fifo_write_Z15_layer0, 0h:00m:00s,    147 MB
work, afifo_16i_64o_512, 0h:00m:00s,    147 MB
work, ipml_fifo_v1_4_afifo_16i_64o_512_Z14_layer0, 0h:00m:00s,    147 MB
work, ipml_fifo_ctrl_v1_3_10s_8s_ASYN_1010s_4s, 0h:00m:00s,    147 MB
work, GTP_DRM9K, 0h:00m:00s,    147 MB
work, ipml_sdpram_v1_4_afifo_16i_64o_512_Z13_layer0, 0h:00m:00s,    147 MB
work, pixel_filter, 0h:00m:00s,    147 MB
work, APM_s16_mult_us8, 0h:00m:00s,    147 MB
work, ipml_mult_v1_1_Z12_layer0, 0h:00m:00s,    147 MB
work, APM_s8_mult_us8, 0h:00m:00s,    147 MB
work, ipml_mult_v1_1_Z11_layer0, 0h:00m:00s,    147 MB
work, pixel_read_block_filt_1280_960_0s_1s_2s_3s_4s_5s, 0h:00m:01s,    187 MB
work, fifo_16i_16o, 0h:00m:00s,    187 MB
work, ipml_fifo_v1_4_fifo_16i_16o_Z10_layer0, 0h:00m:00s,    187 MB
work, ipml_fifo_ctrl_v1_3_10s_10s_SYN_1014s_4s, 0h:00m:00s,    187 MB
work, ipml_sdpram_v1_4_fifo_16i_16o_Z9_layer0, 0h:00m:00s,    187 MB
work, fifo_38i_38o, 0h:00m:00s,    187 MB
work, ipml_fifo_v1_4_fifo_38i_38o_Z8_layer0, 0h:00m:00s,    187 MB
work, ipml_fifo_ctrl_v1_3_9s_9s_SYN_504s_4s, 0h:00m:00s,    187 MB
work, ipml_sdpram_v1_4_fifo_38i_38o_Z7_layer0, 0h:00m:00s,    187 MB
work, calculate_ddr3_addr_block_1280_960_0s_1s_2s_3s_4s_5s, 0h:00m:00s,    187 MB
work, APM_11mult11, 0h:00m:00s,    187 MB
work, ipml_mult_v1_1_Z6_layer0, 0h:00m:00s,    187 MB
work, fifo_26i_26o, 0h:00m:00s,    187 MB
work, ipml_fifo_v1_4_fifo_26i_26o_Z5_layer0, 0h:00m:00s,    187 MB
work, ipml_fifo_ctrl_v1_3_9s_9s_SYN_510s_4s, 0h:00m:00s,    187 MB
work, GTP_DRM18K, 0h:00m:00s,    187 MB
work, ipml_sdpram_v1_4_fifo_26i_26o_Z4_layer0, 0h:00m:00s,    187 MB
work, gen_addr_filt_640s_480s_800s_600s_4294966896s_4294966996s_4_2_1_3_layer0, 0h:00m:00s,    187 MB
work, APM_multi_add_s16, 0h:00m:00s,    187 MB
work, ipml_multadd_v1_1_Z2_layer0, 0h:00m:00s,    187 MB
work, GTP_APM_E1, 0h:00m:00s,    187 MB
work, gen_new_frame_sign, 0h:00m:00s,    187 MB
work, lut_sin_cos, 0h:00m:00s,    187 MB
work, key_adj_angle, 0h:00m:00s,    187 MB
work, get_mpu_angle, 0h:00m:00s,    187 MB
work, usart_tx_rx_Z1_layer0, 0h:00m:00s,    187 MB
work, afifo_8in8out, 0h:00m:00s,    187 MB
work, ipm_distributed_fifo_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_ASYNC_FIFO_12s_4s, 0h:00m:00s,    187 MB
work, ipm_distributed_fifo_ctr_v1_0_4s_ASYNC_FIFO_12s_4s, 0h:00m:00s,    187 MB
work, ipm_distributed_sdpram_v1_2_afifo_8in8out_4s_8s_ASYNC_1s_NONE_BIN, 0h:00m:00s,    187 MB
work, ax_debounce, 0h:00m:00s,    187 MB
